Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
priority-score?,,5,,"(20, 40, 40)",3760.0,3616.0,1229433.0,326.9768617021277,0.0,70.0,381.2857142857143
priority-score?,,5,,"(20, 50, 30)",2921.0,2775.0,1361153.0,465.98870249914415,0.0,75.0,667.5066666666667
priority-score?,,5,,"(20, 60, 20)",3749.0,3605.0,1186746.0,316.55001333688983,0.0,71.0,149.7605633802817
priority-score?,,5,,"(20, 80, 0)",2891.0,2746.0,1353850.0,468.29816672431684,0.0,47.0,778.2340425531914
priority-score?,,5,,"(25, 25, 50)",2786.0,2639.0,1359023.0,487.8043790380474,0.0,48.0,595.875
priority-score?,,5,,"(25, 50, 25)",3027.0,2875.0,1373258.0,453.6696399074992,0.0,72.0,688.4305555555555
priority-score?,,5,,"(30, 10, 60)",4230.0,4124.0,1149353.0,271.71465721040187,0.0,90.0,354.06666666666666
priority-score?,,5,,"(30, 20, 50)",2917.0,2764.0,1434444.0,491.7531710661639,0.0,62.0,460.43548387096774
priority-score?,,5,,"(30, 30, 40)",2937.0,2784.0,1409161.0,479.79605039155604,0.0,55.0,521.6727272727272
priority-score?,,5,,"(30, 40, 30)",2721.0,2575.0,1377283.0,506.1679529584712,0.0,60.0,351.5
priority-score?,,5,,"(30, 50, 20)",3808.0,3652.0,1260441.0,330.99816176470586,3.0,56.0,273.07142857142856
priority-score?,,5,,"(30, 60, 10)",2949.0,2794.0,1426084.0,483.5822312648355,0.0,57.0,350.87719298245617
priority-score?,,5,,"(33, 33, 34)",2937.0,2784.0,1409161.0,479.79605039155604,0.0,55.0,521.6727272727272
priority-score?,,5,,"(33, 34, 33)",2884.0,2721.0,1475482.0,511.6095700416089,1.0,57.0,355.82456140350877
priority-score?,,5,,"(34, 33, 33)",4095.0,3949.0,1233963.0,301.33406593406596,0.0,86.0,381.1279069767442
priority-score?,,5,,"(40, 0, 60)",9995.0,9968.0,110253.0,11.030815407703852,1.0,231.0,8.519480519480519
priority-score?,,5,,"(40, 10, 50)",2969.0,2819.0,1371647.0,461.989558773998,0.0,53.0,360.66037735849056
priority-score?,,5,,"(40, 20, 40)",3253.0,3109.0,1367526.0,420.38917921918227,0.0,65.0,419.3692307692308
priority-score?,,5,,"(40, 30, 30)",4364.0,4226.0,1193482.0,273.4835013748854,0.0,94.0,146.20212765957447
priority-score?,,5,,"(40, 40, 20)",2802.0,2657.0,1371540.0,489.48608137044965,0.0,59.0,200.20338983050848
priority-score?,,5,,"(40, 50, 10)",3985.0,3844.0,1221725.0,306.5809284818068,1.0,76.0,184.75
priority-score?,,5,,"(40, 60, 0)",4379.0,4241.0,1079101.0,246.42635304864123,0.0,101.0,223.76237623762376
priority-score?,,5,,"(50, 0, 50)",10042.0,10019.0,112321.0,11.185122485560646,1.0,228.0,8.846491228070175
priority-score?,,5,,"(50, 10, 40)",4368.0,4260.0,1068714.0,244.66895604395606,1.0,93.0,318.494623655914
priority-score?,,5,,"(50, 20, 30)",2990.0,2823.0,1554873.0,520.0244147157191,0.0,56.0,344.2857142857143
priority-score?,,5,,"(50, 25, 25)",3209.0,3070.0,1287117.0,401.09598005609223,0.0,53.0,155.50943396226415
priority-score?,,5,,"(50, 30, 20)",3109.0,2965.0,1390476.0,447.2422000643294,0.0,66.0,586.2878787878788
priority-score?,,5,,"(50, 40, 10)",4310.0,4183.0,1173213.0,272.20719257540605,0.0,92.0,334.30434782608694
priority-score?,,5,,"(50, 50, 0)",2953.0,2806.0,1346695.0,456.0430071114121,0.0,60.0,343.5833333333333
priority-score?,,5,,"(60, 0, 40)",9921.0,9889.0,114785.0,11.569902227598025,4.0,205.0,11.64390243902439
priority-score?,,5,,"(60, 10, 30)",3290.0,3134.0,1382143.0,420.10425531914893,0.0,71.0,529.2957746478874
priority-score?,,5,,"(60, 20, 20)",4346.0,4199.0,1108183.0,254.98918545789232,0.0,84.0,242.20238095238096
priority-score?,,5,,"(60, 30, 10)",2942.0,2790.0,1420040.0,482.6784500339905,0.0,57.0,359.0
priority-score?,,5,,"(60, 40, 0)",4246.0,4094.0,1263322.0,297.53226566179933,0.0,74.0,150.13513513513513
priority-score?,,5,,"(80, 0, 20)",9666.0,9638.0,268598.0,27.78791640802814,1.0,194.0,23.34536082474227
priority-score?,,5,,"(80, 10, 10)",4576.0,4460.0,1041995.0,227.70869755244755,0.0,79.0,221.70886075949366
priority-score?,,5,,"(80, 20, 0)",4480.0,4360.0,1006927.0,224.76049107142856,0.0,93.0,248.44086021505376
priority-score?,,5,,"(100, 0, 0)",10022.0,10006.0,108246.0,10.800838156056676,0.0,208.0,9.9375
